Algorithm,Number of Nodes,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Simulated_Annealing,15,41.0,229,0.3604128360748291,529132,"[44.0, 44.0, 45.0, 43.0, 45.0, 44.0, 45.0, 44.0, 44.0, 41.0, 41.0]","{0: [1, 5, 11, 7, 8, 9, 4, 2, 6, 13, 12, 10, 3, 14], 1: [0, 9, 11, 12, 7, 6, 2, 4, 13, 5, 3, 10, 14, 8], 2: [0, 14, 12, 6, 9, 11, 10, 8, 1, 4, 13, 5, 7, 3], 3: [0, 14, 7, 13, 5, 8, 4, 2, 10, 9, 1, 6, 12, 11], 4: [0, 12, 3, 9, 6, 8, 14, 11, 13, 5, 2, 1, 10, 7], 5: [0, 10, 2, 4, 1, 3, 9, 12, 11, 7, 13, 14, 8, 6], 6: [0, 1, 14, 5, 9, 3, 11, 8, 2, 10, 7, 13, 12, 4], 7: [0, 3, 1, 13, 6, 9, 10, 14, 8, 2, 11, 4, 12, 5], 8: [0, 4, 9, 5, 6, 11, 1, 12, 14, 2, 7, 3, 13, 10], 9: [0, 8, 5, 10, 1, 3, 11, 4, 13, 7, 14, 12, 6, 2], 10: [0, 14, 6, 7, 5, 9, 1, 13, 12, 4, 11, 3, 2, 8], 11: [0, 8, 12, 1, 5, 3, 9, 2, 13, 6, 10, 14, 7, 4], 12: [0, 6, 8, 10, 1, 9, 4, 7, 14, 2, 11, 13, 5, 3], 13: [0, 2, 11, 4, 7, 10, 1, 14, 3, 9, 5, 12, 6, 8], 14: [0, 5, 7, 13, 8, 4, 9, 1, 10, 2, 11, 12, 6, 3]}"
Simulated_Annealing,15,39.0,478,0.5262980461120605,305257,"[44.0, 45.0, 45.0, 44.0, 44.0, 44.0, 42.0, 43.0, 44.0, 39.0, 39.0]","{0: [1, 6, 11, 12, 13, 3, 2, 14, 9, 5, 7, 10, 8, 4], 1: [0, 13, 5, 3, 4, 8, 9, 2, 11, 7, 10, 14, 6, 12], 2: [0, 14, 3, 9, 5, 6, 4, 13, 7, 12, 1, 10, 11, 8], 3: [0, 14, 12, 8, 9, 2, 7, 13, 6, 10, 1, 4, 11, 5], 4: [0, 12, 2, 6, 10, 3, 14, 13, 11, 1, 9, 5, 8, 7], 5: [0, 7, 4, 14, 1, 3, 12, 10, 13, 9, 6, 11, 2, 8], 6: [0, 12, 1, 13, 7, 14, 9, 11, 10, 4, 2, 8, 5, 3], 7: [0, 6, 5, 12, 13, 4, 11, 10, 8, 1, 9, 3, 14, 2], 8: [0, 12, 3, 10, 5, 11, 1, 6, 14, 13, 7, 4, 2, 9], 9: [0, 4, 3, 12, 5, 2, 1, 14, 11, 13, 8, 10, 7, 6], 10: [0, 9, 7, 12, 5, 13, 4, 1, 6, 14, 8, 2, 11, 3], 11: [0, 5, 4, 10, 1, 8, 7, 2, 6, 12, 3, 13, 14, 9], 12: [0, 7, 2, 5, 11, 3, 14, 8, 9, 10, 6, 1, 4, 13], 13: [0, 7, 3, 1, 11, 6, 5, 12, 9, 2, 14, 8, 10, 4], 14: [0, 10, 2, 11, 4, 1, 13, 9, 6, 8, 7, 12, 3, 5]}"
Simulated_Annealing,15,39.0,211,0.274836778640747,288330,"[44.0, 44.0, 44.0, 45.0, 45.0, 44.0, 42.0, 44.0, 42.0, 40.0]","{0: [1, 3, 2, 13, 12, 5, 4, 14, 11, 7, 6, 9, 10, 8], 1: [0, 5, 7, 12, 4, 10, 2, 14, 11, 3, 9, 6, 13, 8], 2: [0, 3, 5, 6, 11, 10, 14, 9, 13, 1, 8, 12, 4, 7], 3: [0, 8, 4, 5, 6, 9, 14, 10, 11, 13, 12, 7, 1, 2], 4: [0, 2, 7, 6, 11, 14, 10, 9, 5, 3, 13, 12, 8, 1], 5: [0, 1, 13, 7, 14, 6, 10, 8, 11, 9, 3, 2, 12, 4], 6: [0, 8, 5, 4, 7, 12, 10, 14, 2, 13, 1, 11, 3, 9], 7: [0, 5, 9, 6, 4, 1, 2, 12, 8, 11, 14, 3, 13, 10], 8: [0, 13, 9, 6, 2, 4, 11, 10, 1, 5, 14, 7, 3, 12], 9: [0, 7, 13, 1, 3, 14, 11, 6, 5, 4, 2, 8, 12, 10], 10: [0, 7, 2, 8, 5, 14, 3, 1, 6, 12, 13, 9, 4, 11], 11: [0, 4, 10, 3, 7, 8, 13, 5, 12, 1, 6, 9, 2, 14], 12: [0, 3, 4, 11, 13, 9, 10, 6, 5, 7, 14, 1, 8, 2], 13: [0, 10, 4, 6, 3, 8, 9, 12, 7, 1, 14, 11, 2, 5], 14: [0, 8, 12, 1, 5, 11, 2, 7, 10, 6, 9, 13, 3, 4]}"
Simulated_Annealing,15,40.0,208,0.2649352550506592,498666,"[44.0, 43.0, 44.0, 44.0, 44.0, 45.0, 45.0, 43.0, 44.0, 40.0]","{0: [1, 5, 7, 12, 11, 8, 3, 14, 2, 13, 9, 4, 10, 6], 1: [0, 11, 5, 3, 4, 2, 10, 14, 13, 12, 9, 7, 6, 8], 2: [0, 14, 8, 7, 6, 9, 13, 4, 12, 11, 5, 10, 3, 1], 3: [0, 1, 14, 7, 4, 2, 13, 5, 9, 11, 8, 6, 10, 12], 4: [0, 3, 2, 7, 1, 5, 11, 14, 9, 10, 6, 12, 8, 13], 5: [0, 8, 14, 6, 10, 7, 4, 13, 12, 11, 9, 1, 2, 3], 6: [0, 8, 13, 14, 4, 5, 3, 1, 9, 2, 11, 10, 7, 12], 7: [0, 5, 8, 2, 14, 12, 10, 1, 11, 9, 6, 3, 13, 4], 8: [0, 14, 11, 7, 9, 6, 4, 5, 1, 3, 10, 2, 12, 13], 9: [0, 3, 2, 6, 1, 13, 11, 7, 14, 12, 10, 8, 5, 4], 10: [0, 1, 3, 7, 5, 4, 9, 12, 11, 8, 2, 13, 14, 6], 11: [0, 7, 12, 8, 13, 3, 4, 2, 5, 14, 10, 9, 6, 1], 12: [0, 6, 8, 10, 11, 2, 9, 3, 7, 5, 4, 13, 1, 14], 13: [0, 12, 10, 5, 11, 4, 14, 6, 9, 7, 2, 1, 3, 8], 14: [0, 4, 11, 6, 13, 8, 12, 3, 9, 1, 10, 5, 7, 2]}"
Simulated_Annealing,15,39.0,461,0.5672750473022461,204704,"[44.0, 44.0, 44.0, 42.0, 45.0, 43.0, 45.0, 44.0, 42.0, 39.0]","{0: [1, 7, 10, 11, 2, 3, 6, 14, 4, 5, 13, 8, 12, 9], 1: [0, 14, 10, 8, 13, 11, 2, 9, 3, 6, 4, 7, 12, 5], 2: [0, 10, 6, 12, 4, 3, 5, 14, 13, 7, 8, 1, 11, 9], 3: [0, 7, 8, 10, 14, 12, 9, 13, 5, 4, 11, 2, 1, 6], 4: [0, 3, 11, 7, 1, 8, 12, 14, 5, 9, 13, 2, 6, 10], 5: [0, 11, 13, 10, 1, 14, 12, 9, 8, 3, 4, 2, 7, 6], 6: [0, 3, 12, 13, 5, 14, 11, 10, 8, 4, 2, 1, 7, 9], 7: [0, 12, 8, 10, 1, 4, 6, 3, 5, 11, 13, 2, 14, 9], 8: [0, 9, 14, 1, 7, 11, 10, 4, 6, 13, 3, 5, 2, 12], 9: [0, 1, 10, 4, 7, 6, 8, 11, 2, 13, 14, 3, 5, 12], 10: [0, 1, 9, 7, 13, 8, 6, 3, 12, 2, 11, 4, 5, 14], 11: [0, 4, 6, 2, 13, 1, 7, 10, 8, 9, 14, 12, 5, 3], 12: [0, 5, 4, 14, 2, 6, 7, 9, 8, 13, 1, 3, 11, 10], 13: [0, 3, 1, 4, 9, 10, 8, 11, 2, 5, 6, 14, 12, 7], 14: [0, 2, 4, 5, 6, 13, 12, 3, 10, 9, 1, 11, 8, 7]}"
Simulated_Annealing,15,39.0,232,0.2948930263519287,430536,"[44.0, 44.0, 44.0, 44.0, 43.0, 44.0, 42.0, 44.0, 41.0, 40.0, 40.0]","{0: [1, 3, 10, 12, 2, 13, 7, 6, 4, 9, 5, 14, 11, 8], 1: [0, 4, 14, 5, 6, 3, 7, 10, 2, 12, 9, 8, 13, 11], 2: [0, 5, 6, 7, 4, 12, 9, 11, 13, 1, 3, 8, 10, 14], 3: [0, 7, 8, 12, 6, 4, 1, 5, 11, 10, 9, 14, 2, 13], 4: [0, 7, 1, 9, 5, 13, 8, 10, 11, 3, 12, 2, 14, 6], 5: [0, 14, 6, 4, 12, 13, 10, 8, 2, 1, 7, 3, 9, 11], 6: [0, 5, 9, 1, 4, 12, 7, 13, 8, 11, 10, 14, 2, 3], 7: [0, 1, 11, 8, 14, 13, 10, 5, 2, 12, 6, 3, 4, 9], 8: [0, 3, 6, 7, 2, 10, 4, 14, 12, 13, 11, 9, 5, 1], 9: [0, 5, 11, 6, 7, 10, 8, 2, 4, 12, 13, 1, 3, 14], 10: [0, 11, 13, 1, 14, 5, 2, 4, 7, 6, 8, 3, 12, 9], 11: [0, 14, 1, 10, 2, 8, 4, 7, 3, 6, 9, 13, 5, 12], 12: [0, 3, 9, 13, 5, 2, 8, 1, 4, 6, 7, 10, 14, 11], 13: [0, 4, 6, 14, 10, 3, 7, 8, 9, 5, 11, 12, 2, 1], 14: [0, 6, 3, 5, 10, 13, 7, 8, 2, 9, 11, 4, 1, 12]}"
Simulated_Annealing,15,39.0,347,0.4168887138366699,720929,"[44.0, 44.0, 44.0, 44.0, 42.0, 44.0, 43.0, 44.0, 42.0, 39.0]","{0: [1, 2, 14, 11, 5, 3, 9, 12, 6, 10, 13, 4, 7, 8], 1: [0, 11, 14, 12, 13, 9, 7, 3, 10, 8, 6, 5, 4, 2], 2: [0, 1, 7, 10, 4, 11, 12, 13, 9, 8, 5, 3, 14, 6], 3: [0, 5, 13, 8, 10, 12, 11, 2, 6, 7, 9, 14, 4, 1], 4: [0, 8, 10, 9, 14, 1, 13, 2, 6, 7, 11, 12, 5, 3], 5: [0, 6, 8, 3, 4, 13, 10, 2, 1, 7, 11, 9, 12, 14], 6: [0, 7, 9, 12, 8, 4, 11, 3, 2, 13, 10, 14, 5, 1], 7: [0, 2, 14, 8, 4, 11, 5, 9, 13, 3, 6, 12, 10, 1], 8: [0, 10, 1, 6, 5, 7, 14, 2, 11, 9, 4, 13, 12, 3], 9: [0, 2, 13, 10, 12, 11, 14, 7, 1, 4, 3, 6, 8, 5], 10: [0, 13, 3, 14, 4, 7, 8, 2, 1, 6, 11, 12, 5, 9], 11: [0, 13, 2, 1, 3, 14, 12, 9, 7, 8, 6, 10, 4, 5], 12: [0, 14, 3, 6, 11, 10, 9, 1, 8, 13, 5, 7, 2, 4], 13: [0, 6, 12, 8, 10, 9, 3, 11, 14, 7, 2, 1, 4, 5], 14: [0, 11, 6, 3, 10, 4, 12, 5, 2, 1, 8, 7, 9, 13]}"
Simulated_Annealing,15,40.0,149,0.2010059356689453,296824,"[44.0, 44.0, 45.0, 44.0, 45.0, 44.0, 44.0, 44.0, 43.0, 40.0, 40.0]","{0: [1, 10, 13, 8, 4, 11, 12, 2, 14, 9, 7, 6, 5, 3], 1: [0, 14, 3, 6, 7, 8, 11, 9, 2, 12, 10, 13, 5, 4], 2: [0, 1, 5, 11, 3, 12, 7, 6, 8, 10, 4, 9, 13, 14], 3: [0, 6, 14, 4, 13, 8, 1, 5, 2, 11, 7, 12, 9, 10], 4: [0, 7, 14, 9, 12, 8, 13, 3, 5, 10, 1, 2, 11, 6], 5: [0, 13, 4, 6, 7, 12, 2, 11, 3, 14, 8, 9, 10, 1], 6: [0, 1, 7, 9, 14, 10, 13, 12, 11, 3, 5, 4, 2, 8], 7: [0, 6, 2, 4, 12, 11, 9, 5, 1, 10, 3, 13, 8, 14], 8: [0, 2, 7, 11, 14, 5, 10, 12, 1, 4, 6, 3, 9, 13], 9: [0, 3, 1, 13, 10, 2, 4, 12, 7, 8, 14, 11, 5, 6], 10: [0, 11, 12, 2, 7, 3, 5, 13, 4, 1, 14, 8, 9, 6], 11: [0, 12, 9, 5, 1, 7, 3, 10, 2, 14, 13, 6, 8, 4], 12: [0, 8, 5, 7, 9, 3, 2, 14, 4, 13, 6, 10, 11, 1], 13: [0, 8, 12, 3, 11, 7, 6, 9, 2, 10, 14, 1, 5, 4], 14: [0, 9, 3, 12, 11, 7, 5, 1, 10, 8, 4, 13, 2, 6]}"
Simulated_Annealing,15,39.0,226,0.2901279926300049,906231,"[44.0, 45.0, 44.0, 44.0, 45.0, 43.0, 45.0, 43.0, 44.0, 40.0]","{0: [1, 6, 3, 2, 9, 7, 5, 13, 14, 12, 4, 11, 10, 8], 1: [0, 3, 10, 5, 14, 2, 9, 7, 8, 12, 11, 13, 4, 6], 2: [0, 1, 6, 11, 8, 7, 5, 13, 10, 14, 9, 4, 3, 12], 3: [0, 9, 5, 7, 12, 6, 10, 13, 14, 8, 11, 1, 2, 4], 4: [0, 7, 10, 12, 9, 5, 13, 1, 8, 11, 2, 6, 14, 3], 5: [0, 7, 4, 1, 9, 11, 12, 3, 6, 10, 8, 13, 2, 14], 6: [0, 8, 10, 9, 11, 3, 12, 1, 5, 7, 13, 14, 2, 4], 7: [0, 8, 9, 12, 6, 11, 13, 2, 14, 4, 3, 1, 10, 5], 8: [0, 2, 14, 1, 3, 9, 13, 4, 7, 12, 5, 11, 10, 6], 9: [0, 6, 13, 12, 11, 2, 4, 8, 10, 1, 7, 5, 3, 14], 10: [0, 4, 5, 14, 2, 9, 6, 8, 3, 1, 7, 11, 13, 12], 11: [0, 10, 14, 12, 7, 5, 4, 3, 8, 1, 2, 6, 9, 13], 12: [0, 14, 2, 10, 1, 6, 5, 13, 8, 4, 7, 11, 3, 9], 13: [0, 5, 2, 7, 14, 10, 1, 6, 11, 9, 12, 8, 3, 4], 14: [0, 11, 3, 9, 8, 13, 2, 4, 1, 10, 5, 6, 7, 12]}"
Simulated_Annealing,15,39.0,604,0.6455910205841064,486251,"[44.0, 44.0, 44.0, 44.0, 44.0, 44.0, 44.0, 42.0, 44.0, 40.0, 39.0]","{0: [1, 5, 7, 11, 4, 9, 10, 13, 6, 2, 3, 14, 8, 12], 1: [0, 12, 10, 13, 8, 3, 5, 7, 2, 9, 14, 4, 11, 6], 2: [0, 10, 14, 9, 11, 5, 3, 6, 7, 12, 8, 4, 13, 1], 3: [0, 1, 2, 11, 4, 12, 7, 9, 5, 13, 10, 6, 8, 14], 4: [0, 7, 9, 6, 2, 1, 8, 3, 10, 14, 11, 13, 5, 12], 5: [0, 7, 8, 11, 9, 12, 2, 6, 13, 10, 4, 1, 14, 3], 6: [0, 13, 11, 9, 14, 7, 4, 1, 2, 3, 8, 12, 10, 5], 7: [0, 2, 11, 9, 6, 1, 14, 8, 10, 3, 12, 5, 4, 13], 8: [0, 12, 11, 5, 6, 9, 7, 1, 3, 4, 2, 10, 13, 14], 9: [0, 11, 13, 1, 3, 14, 2, 10, 6, 5, 7, 12, 4, 8], 10: [0, 8, 3, 9, 6, 11, 12, 13, 1, 2, 14, 5, 7, 4], 11: [0, 7, 12, 10, 3, 8, 1, 9, 4, 2, 13, 5, 14, 6], 12: [0, 9, 13, 2, 14, 5, 8, 1, 6, 7, 3, 4, 10, 11], 13: [0, 2, 4, 14, 12, 7, 1, 10, 5, 8, 9, 6, 11, 3], 14: [0, 4, 3, 1, 13, 5, 6, 11, 12, 9, 10, 8, 2, 7]}"
Simulated_Annealing,15,39.0,540,0.5556161403656006,683880,"[44.0, 43.0, 44.0, 44.0, 43.0, 43.0, 43.0, 44.0, 43.0, 40.0, 39.0]","{0: [1, 12, 14, 10, 7, 11, 2, 6, 13, 8, 5, 3, 9, 4], 1: [0, 14, 11, 13, 10, 5, 3, 9, 4, 7, 12, 2, 6, 8], 2: [0, 8, 13, 6, 5, 7, 9, 3, 1, 4, 14, 11, 10, 12], 3: [0, 8, 6, 7, 2, 1, 13, 9, 4, 10, 5, 11, 12, 14], 4: [0, 7, 2, 12, 5, 13, 9, 1, 8, 3, 6, 10, 14, 11], 5: [0, 9, 10, 6, 14, 13, 1, 11, 7, 12, 3, 2, 8, 4], 6: [0, 1, 12, 4, 3, 8, 11, 5, 7, 2, 10, 14, 9, 13], 7: [0, 5, 2, 11, 12, 4, 6, 14, 10, 13, 8, 9, 1, 3], 8: [0, 4, 9, 7, 10, 2, 3, 1, 11, 14, 12, 6, 13, 5], 9: [0, 6, 4, 11, 8, 1, 12, 13, 3, 10, 14, 2, 7, 5], 10: [0, 13, 11, 2, 6, 1, 8, 3, 12, 5, 14, 9, 4, 7], 11: [0, 12, 6, 2, 9, 8, 10, 13, 1, 7, 3, 5, 4, 14], 12: [0, 9, 2, 7, 11, 10, 6, 13, 14, 4, 1, 8, 5, 3], 13: [0, 6, 9, 3, 5, 12, 2, 1, 11, 10, 8, 4, 14, 7], 14: [0, 7, 2, 10, 12, 6, 8, 5, 4, 3, 1, 9, 11, 13]}"
Simulated_Annealing,15,39.0,608,0.6892471313476562,495167,"[44.0, 45.0, 45.0, 44.0, 42.0, 45.0, 43.0, 44.0, 41.0, 40.0, 39.0]","{0: [1, 8, 2, 6, 3, 10, 12, 5, 13, 7, 4, 9, 14, 11], 1: [0, 3, 6, 4, 2, 14, 13, 8, 5, 12, 7, 9, 11, 10], 2: [0, 13, 11, 8, 12, 1, 5, 6, 7, 9, 3, 10, 14, 4], 3: [0, 6, 9, 1, 5, 13, 11, 12, 4, 2, 7, 14, 8, 10], 4: [0, 2, 12, 1, 3, 14, 6, 5, 8, 13, 10, 11, 9, 7], 5: [0, 11, 14, 13, 7, 2, 3, 4, 10, 9, 8, 1, 6, 12], 6: [0, 4, 9, 1, 14, 13, 2, 5, 8, 11, 10, 7, 3, 12], 7: [0, 2, 3, 11, 8, 12, 1, 5, 14, 13, 10, 6, 4, 9], 8: [0, 9, 2, 7, 14, 6, 1, 11, 3, 5, 4, 10, 13, 12], 9: [0, 2, 12, 1, 11, 4, 14, 6, 7, 5, 8, 3, 10, 13], 10: [0, 3, 8, 1, 5, 7, 13, 14, 9, 12, 6, 4, 2, 11], 11: [0, 8, 14, 6, 9, 3, 7, 4, 2, 10, 13, 5, 1, 12], 12: [0, 6, 4, 5, 1, 8, 2, 7, 10, 13, 14, 9, 11, 3], 13: [0, 4, 8, 11, 10, 7, 14, 3, 1, 5, 6, 2, 12, 9], 14: [0, 4, 13, 7, 1, 10, 2, 12, 9, 11, 6, 8, 3, 5]}"
Simulated_Annealing,15,39.0,339,0.413999080657959,361367,"[44.0, 45.0, 45.0, 42.0, 43.0, 44.0, 44.0, 43.0, 43.0, 39.0, 39.0]","{0: [1, 3, 2, 13, 14, 4, 6, 5, 7, 9, 10, 12, 11, 8], 1: [0, 8, 11, 5, 3, 2, 13, 10, 12, 4, 14, 7, 9, 6], 2: [0, 8, 14, 5, 11, 10, 9, 4, 13, 12, 6, 1, 7, 3], 3: [0, 12, 4, 6, 2, 14, 5, 10, 7, 13, 11, 8, 9, 1], 4: [0, 11, 6, 12, 10, 14, 1, 2, 7, 8, 3, 9, 5, 13], 5: [0, 9, 2, 13, 6, 11, 4, 12, 8, 1, 14, 10, 7, 3], 6: [0, 14, 2, 11, 9, 5, 10, 4, 13, 8, 12, 1, 3, 7], 7: [0, 10, 11, 9, 5, 2, 1, 8, 4, 14, 6, 12, 3, 13], 8: [0, 7, 2, 12, 10, 14, 9, 3, 13, 6, 11, 1, 5, 4], 9: [0, 8, 13, 2, 12, 6, 4, 3, 14, 1, 10, 7, 5, 11], 10: [0, 14, 12, 1, 8, 5, 13, 7, 11, 6, 4, 3, 9, 2], 11: [0, 1, 6, 8, 13, 10, 3, 5, 2, 9, 14, 7, 4, 12], 12: [0, 9, 2, 6, 4, 5, 10, 8, 14, 3, 13, 7, 1, 11], 13: [0, 14, 12, 9, 5, 7, 8, 4, 1, 2, 11, 6, 10, 3], 14: [0, 5, 2, 8, 13, 9, 7, 12, 1, 4, 6, 3, 10, 11]}"
Simulated_Annealing,15,39.0,425,0.4904680252075195,755455,"[44.0, 45.0, 45.0, 44.0, 44.0, 43.0, 43.0, 43.0, 45.0, 39.0]","{0: [1, 5, 9, 10, 7, 14, 11, 13, 6, 2, 12, 8, 4, 3], 1: [0, 6, 4, 9, 5, 13, 10, 11, 8, 7, 2, 12, 14, 3], 2: [0, 1, 11, 8, 4, 14, 6, 10, 13, 7, 12, 3, 5, 9], 3: [0, 4, 8, 7, 5, 6, 1, 14, 11, 10, 9, 12, 13, 2], 4: [0, 10, 6, 3, 5, 8, 14, 13, 12, 11, 1, 7, 2, 9], 5: [0, 11, 7, 2, 8, 3, 1, 4, 12, 13, 10, 14, 9, 6], 6: [0, 12, 10, 2, 7, 3, 5, 11, 4, 13, 8, 1, 9, 14], 7: [0, 2, 10, 3, 9, 13, 14, 6, 12, 5, 4, 1, 11, 8], 8: [0, 12, 3, 14, 10, 2, 13, 7, 11, 5, 9, 6, 1, 4], 9: [0, 6, 2, 11, 8, 12, 4, 1, 14, 13, 7, 3, 10, 5], 10: [0, 5, 14, 13, 2, 6, 4, 8, 1, 11, 12, 7, 3, 9], 11: [0, 8, 5, 13, 12, 4, 2, 9, 14, 10, 7, 6, 3, 1], 12: [0, 8, 2, 1, 4, 11, 10, 9, 13, 7, 6, 3, 14, 5], 13: [0, 5, 14, 6, 10, 2, 11, 4, 1, 12, 3, 9, 8, 7], 14: [0, 9, 2, 13, 10, 1, 8, 4, 3, 12, 5, 11, 7, 6]}"
Simulated_Annealing,15,39.0,406,0.4604008197784424,713133,"[45.0, 43.0, 44.0, 45.0, 43.0, 43.0, 43.0, 44.0, 42.0, 39.0]","{0: [1, 12, 3, 11, 13, 14, 5, 8, 10, 4, 7, 9, 2, 6], 1: [0, 3, 10, 13, 9, 11, 12, 5, 4, 14, 6, 7, 2, 8], 2: [0, 1, 7, 9, 14, 5, 13, 3, 4, 6, 11, 10, 8, 12], 3: [0, 13, 5, 12, 8, 11, 1, 6, 4, 10, 2, 14, 7, 9], 4: [0, 13, 6, 8, 14, 7, 9, 2, 10, 1, 11, 5, 12, 3], 5: [0, 3, 10, 13, 9, 7, 2, 12, 11, 14, 1, 4, 8, 6], 6: [0, 12, 2, 4, 13, 10, 9, 5, 8, 7, 3, 14, 1, 11], 7: [0, 10, 14, 2, 4, 11, 9, 1, 12, 6, 13, 8, 3, 5], 8: [0, 2, 14, 12, 6, 10, 5, 11, 4, 9, 7, 1, 13, 3], 9: [0, 5, 6, 10, 7, 1, 3, 8, 4, 2, 13, 14, 12, 11], 10: [0, 9, 14, 6, 11, 1, 8, 13, 4, 3, 2, 7, 12, 5], 11: [0, 8, 9, 12, 1, 14, 2, 13, 10, 7, 6, 3, 4, 5], 12: [0, 13, 11, 2, 3, 6, 1, 10, 8, 14, 5, 4, 9, 7], 13: [0, 3, 1, 11, 14, 7, 9, 2, 8, 10, 6, 12, 5, 4], 14: [0, 12, 8, 2, 5, 1, 13, 6, 11, 3, 10, 7, 4, 9]}"
Simulated_Annealing,15,39.0,410,0.4850208759307861,181590,"[44.0, 44.0, 44.0, 44.0, 45.0, 45.0, 43.0, 44.0, 43.0, 39.0]","{0: [1, 9, 11, 14, 4, 3, 10, 8, 6, 7, 2, 13, 5, 12], 1: [0, 10, 11, 3, 14, 2, 6, 9, 8, 4, 12, 13, 7, 5], 2: [0, 4, 13, 11, 10, 3, 12, 14, 9, 8, 7, 1, 5, 6], 3: [0, 1, 9, 8, 6, 4, 14, 5, 12, 2, 7, 13, 10, 11], 4: [0, 5, 8, 2, 1, 10, 3, 13, 12, 14, 9, 11, 7, 6], 5: [0, 6, 9, 12, 10, 4, 3, 1, 7, 14, 8, 11, 2, 13], 6: [0, 5, 8, 1, 3, 9, 7, 4, 10, 12, 14, 2, 11, 13], 7: [0, 1, 6, 2, 3, 9, 10, 12, 11, 14, 8, 5, 4, 13], 8: [0, 4, 10, 7, 14, 11, 3, 2, 12, 6, 1, 9, 13, 5], 9: [0, 7, 13, 10, 1, 6, 3, 4, 2, 5, 8, 12, 11, 14], 10: [0, 14, 4, 11, 13, 9, 12, 7, 3, 1, 6, 8, 5, 2], 11: [0, 9, 12, 2, 13, 4, 1, 3, 14, 6, 5, 7, 8, 10], 12: [0, 5, 4, 13, 11, 8, 7, 9, 1, 10, 14, 6, 2, 3], 13: [0, 3, 12, 4, 5, 7, 8, 1, 10, 6, 11, 2, 14, 9], 14: [0, 1, 11, 6, 3, 9, 2, 8, 10, 12, 13, 4, 7, 5]}"
Simulated_Annealing,15,41.0,244,0.3153870105743408,499188,"[45.0, 45.0, 43.0, 45.0, 43.0, 44.0, 43.0, 42.0, 43.0, 41.0]","{0: [1, 4, 2, 13, 11, 6, 9, 14, 8, 12, 5, 3, 7, 10], 1: [0, 14, 3, 9, 12, 13, 10, 5, 8, 6, 7, 2, 11, 4], 2: [0, 6, 12, 8, 5, 10, 3, 11, 1, 7, 14, 4, 13, 9], 3: [0, 14, 4, 7, 5, 13, 1, 2, 9, 6, 11, 10, 12, 8], 4: [0, 8, 12, 13, 6, 11, 1, 7, 2, 3, 14, 9, 5, 10], 5: [0, 9, 7, 1, 3, 11, 4, 2, 6, 10, 14, 13, 8, 12], 6: [0, 7, 14, 5, 13, 4, 1, 2, 11, 8, 3, 10, 9, 12], 7: [0, 13, 9, 2, 10, 5, 4, 3, 14, 11, 1, 8, 12, 6], 8: [0, 2, 7, 1, 13, 14, 5, 10, 12, 4, 11, 9, 3, 6], 9: [0, 6, 8, 4, 5, 12, 10, 11, 1, 13, 7, 3, 2, 14], 10: [0, 1, 5, 14, 4, 9, 12, 11, 13, 7, 3, 2, 6, 8], 11: [0, 8, 5, 10, 12, 14, 1, 2, 6, 7, 3, 9, 4, 13], 12: [0, 10, 14, 2, 6, 4, 1, 9, 8, 11, 7, 5, 3, 13], 13: [0, 14, 5, 8, 4, 10, 6, 1, 9, 3, 11, 2, 7, 12], 14: [0, 1, 7, 13, 8, 10, 6, 9, 3, 2, 5, 12, 4, 11]}"
Simulated_Annealing,15,41.0,14,0.0195410251617431,230096,"[44.0, 44.0, 44.0, 44.0, 42.0, 43.0, 44.0, 42.0, 42.0, 41.0]","{0: [1, 8, 3, 13, 9, 4, 14, 11, 6, 7, 5, 10, 12, 2], 1: [0, 2, 11, 7, 12, 5, 3, 4, 10, 9, 14, 6, 13, 8], 2: [0, 13, 14, 11, 5, 1, 6, 7, 3, 8, 4, 9, 12, 10], 3: [0, 7, 11, 5, 14, 9, 13, 1, 6, 4, 10, 8, 2, 12], 4: [0, 12, 13, 1, 3, 10, 5, 2, 7, 11, 8, 6, 9, 14], 5: [0, 4, 3, 12, 6, 13, 11, 10, 2, 1, 14, 7, 9, 8], 6: [0, 1, 9, 2, 4, 13, 7, 8, 11, 3, 12, 14, 10, 5], 7: [0, 8, 1, 4, 9, 13, 6, 10, 11, 5, 2, 3, 12, 14], 8: [0, 2, 10, 11, 13, 3, 12, 9, 7, 1, 4, 14, 5, 6], 9: [0, 4, 7, 8, 10, 5, 12, 3, 13, 11, 1, 6, 14, 2], 10: [0, 14, 2, 12, 3, 1, 9, 8, 11, 5, 7, 6, 13, 4], 11: [0, 13, 6, 1, 14, 7, 5, 10, 4, 8, 9, 2, 12, 3], 12: [0, 6, 9, 11, 13, 1, 2, 5, 4, 10, 14, 8, 7, 3], 13: [0, 12, 14, 7, 8, 5, 6, 2, 4, 10, 3, 9, 11, 1], 14: [0, 6, 3, 11, 2, 10, 12, 13, 7, 5, 9, 1, 4, 8]}"
